query,intent
헬로우,0
헬로,0
안부 인사드립니다.,0
잘가 안녕.,0
이제 진짜 안녕!! 안녕!,0
안녕을 고하며 잘 보내주었나요.,0
안녕하세 안녕하세요.,0
안녕하세요,0
반가워요,0
반가반가,0
방가방가,0
하이,0
안녕,0
좋은 아침이야,0
진짜 반갑다,0
요즘 어떻게 지냈어요?,0
잘 지냈습니까?,0
잘지내지?,0
만나서 반가워요,0
만나서 반갑습니다,0
하이루,0
반갑,0
잘지냈어요?,0
잘지냈어?,0
이거 너무 좋다 저장해줘.,1
마음에 들어 저장할래.,1
이거 레시피 저장할거야.,1
지금 보고있는 레시피 저장해줄래?.,1
진짜 맛있다 다음에 또 보고싶어.,1
방금 보여준 레시피 즐겨찾기해줘.,1
현재 레시피 즐겨찾기.,1
다시 볼 수 있게 저장해줘.,1
방금 화면에 보여준 레시피 즐겨찾기해줄래?.,1
지금 화면에 띄운 요리방법 저장해줘.,1
방금 알려준 레시피 저장해.,1
지금 알려준 레시피 저장해.,1
방금 알려준 요리 저장해.,1
지금 알려준 요리 저장해.,1
방금 알려준 레시피 즐겨찾기해.,1
지금 알려준 레시피 즐겨찾기해.,1
방금 알려준 요리 즐겨찾기해.,1
지금 알려준 요리 즐겨찾기해.,1
지금 읽어준 레시피 저장해주세요.,1
방금 읽어준 레시피 저장해주세요.,1
지금 읽어준 요리방법 저장해주세요.,1
방금 읽어준 요리 저장해주세요.,1
지금 읽어준 조리법 저장해주세요.,1
방금 읽어준 조리방법 저장해주세요.,1
현재 요리방법 저장해줘.,1
현재 요리 즐겨찾기할래.,1
방금 조리법 저장하고싶어.,1
방금 레시피 저장하고싶어.,1
지금 요리방법 저장할꺼야.,1
방금 조리법 즐겨찾기 하고싶어.,1
방금 레시피 즐겨찾기 하고싶어.,1
지금 요리방법 즐겨찾기 할꺼야.,1
이거 레시피 즐겨찾기 해줘.,1
이거 요리 즐겨찾기 해줘.,1
이거 요리 저장해줘.,1
이거 레시피 저장해줘.,1
이거 저장해.,1
이거 저장해주세요.,1
이거 즐겨찾기.,1
이거 즐겨찾기해줘.,1
이거 즐겨찾기 등록해줘요.,1
즐겨찾기 등록해줘요.,1
즐겨찾기 등록해주세요.,1
나는 이 레시피를 즐겨찾기 할꺼야.,1
나는 이 요리가 마음에 들어 저장하고 싶어.,1
현재 내가 보고있는 레시피를 즐겨찾기에 등록해줘.,1
레시피 추천해주세요.,2
현재 재료에 맞는 요리 추천해줘.,2
지금있는 재료로 레시피 추천해줘.,2
지금 재료에 맞춰서 레시피 추천해주세요.,2
남아있는 재료로 음식 추천해줄래?.,2
재료에 맞는 음식 알려줘.,2
냉장고에 있는 재료로 레시피 추천해줄래?.,2
냉장고 속에 있는 재료로 요리 추천해줄래요?.,2
냉장고 속 재료로 레시피 추천해주세요?.,2
냉장고 안에 재료에 맞는 레시피를 알고 싶어.,2
현재 식재료에 맞는 레시피 추천해줄수있니?.,2
현재 남아있는 식재료로 레시피를 추천해주세요.,2
지금 남아있는 재료로 요리를 추천해줘요.,2
남아있는 재료에 맞춰 요리를 추천해줄래?.,2
남아있는 식재료로 레시피를 추천해줘.,2
헬로우.,0
헬로.,0
안녕.,0
안녕하세요.,0
반가워.,0
반갑다.,0
반갑습니다	0
반가워요.,0
하이.,0
하이루.,0
방가방가.,0
레시피 저장.,1
지금 레시피 저장.,1
지금들은 레시피 저장.,1
현재 레시피 저장.,1
방금 레시피 저장.,1
방금들은 레시피 저장.,1
레시피 저장해줘.,1
지금 레시피 저장해줘.,1
지금들은 레시피 저장해줘.,1
현재 레시피 저장해줘.,1
방금 레시피 저장해줘.,1
방금들은 레시피 저장해줘.,1
레시피 즐겨찾기.,1
지금 레시피 즐겨찾기.,1
지금들은 레시피 즐겨찾기.,1
현재 레시피 즐겨찾기.,1
방금 레시피 즐겨찾기.,1
방금들은 레시피 즐겨찾기.,1
레시피 즐겨찾기해줘.,1
지금 레시피 즐겨찾기 해줘.,1
지금들은 레시피 즐겨찾기 해줘.,1
현재 레시피 즐겨찾기 해줘.,1
방금 레시피 즐겨찾기 해줘.,1
방금들은 레시피 즐겨찾기 해줘.,1
레시피 저장해줘요.,1
지금 레시피 저장해줘요.,1
지금들은 레시피 저장해줘요.,1
현재 레시피 저장해줘요.,1
방금 레시피 저장해줘요.,1
방금들은 레시피 저장해줘요.,1
레시피 즐겨찾기해줘요.,1
지금 레시피 즐겨찾기 해줘요.,1
지금들은 레시피 즐겨찾기 해줘요.,1
현재 레시피 즐겨찾기 해줘요.,1
방금 레시피 즐겨찾기 해줘요.,1
방금들은 레시피 즐겨찾기 해줘요.,1
레시피 저장해주세요.,1
지금 레시피 저장해주세요.,1
지금들은 레시피 저장해주세요.,1
현재 레시피 저장해주세요.,1
방금 레시피 저장해주세요.,1
방금들은 레시피 저장해주세요.,1
레시피 즐겨찾기해주세요.,1
지금 레시피 즐겨찾기 해주세요.,1
지금들은 레시피 즐겨찾기 해주세요.,1
현재 레시피 즐겨찾기 해주세요.,1
방금 레시피 즐겨찾기 해주세요.,1
방금들은 레시피 즐겨찾기 해주세요.,1
레시피 저장해줄래?.,1
지금 레시피 저장해줄래?.,1
지금들은 레시피 저장해줄래?.,1
현재 레시피 저장해줄래?.,1
방금 레시피 저장해줄래?.,1
방금들은 레시피 저장해줄래?.,1
레시피 즐겨찾기해줄래?.,1
지금 레시피 즐겨찾기 해줄래?.,1
지금들은 레시피 즐겨찾기 해줄래?.,1
현재 레시피 즐겨찾기 해줄래?.,1
방금 레시피 즐겨찾기 해줄래?.,1
방금들은 레시피 즐겨찾기 해줄래?.,1
레시피 저장해줄래요?.,1
지금 레시피 저장해줄래요?.,1
지금들은 레시피 저장해줄래요?.,1
현재 레시피 저장해줄래요?.,1
방금 레시피 저장해줄래요?.,1
방금들은 레시피 저장해줄래요?.,1
레시피 즐겨찾기해줄래요?.,1
지금 레시피 즐겨찾기 해줄래요?.,1
지금들은 레시피 즐겨찾기 해줄래요?.,1
현재 레시피 즐겨찾기 해줄래요?.,1
방금 레시피 즐겨찾기 해줄래요?.,1
방금들은 레시피 즐겨찾기 해줄래요?.,1
레시피 저장해주실래요?.,1
지금 레시피 저장해주실래요?.,1
지금들은 레시피 저장해주실래요?.,1
현재 레시피 저장해주실래요?.,1
방금 레시피 저장해주실래요?.,1
방금들은 레시피 저장해주실래요?.,1
레시피 즐겨찾기해주실래요?.,1
지금 레시피 즐겨찾기 해주실래요?.,1
현재 레시피 즐겨찾기 해주실래요?.,1
방금 레시피 즐겨찾기 해주실래요?.,1
방금들은 레시피 즐겨찾기 해주실래요?.,1
요리법 저장.,1
지금 요리법 저장.,1
지금들은 요리법 저장.,1
현재 요리법 저장.,1
방금 요리법 저장.,1
방금들은 요리법 저장.,1
요리법 저장해줘.,1
지금 요리법 저장해줘.,1
지금들은 요리법 저장해줘.,1
현재 요리법 저장해줘.,1
방금 요리법 저장해줘.,1
방금들은 요리법 저장해줘.,1
요리법 즐겨찾기.,1
지금 요리법 즐겨찾기.,1
지금들은 요리법 즐겨찾기.,1
현재 요리법 즐겨찾기.,1
방금 요리법 즐겨찾기.,1
방금들은 요리법 즐겨찾기.,1
요리법 즐겨찾기해줘.,1
지금 요리법 즐겨찾기 해줘.,1
지금들은 요리법 즐겨찾기 해줘.,1
현재 요리법 즐겨찾기 해줘.,1
방금 요리법 즐겨찾기 해줘.,1
방금들은 요리법 즐겨찾기 해줘.,1
요리법 저장해줘요.,1
지금 요리법 저장해줘요.,1
지금들은 요리법 저장해줘요.,1
현재 요리법 저장해줘요.,1
방금 요리법 저장해줘요.,1
방금들은 요리법 저장해줘요.,1
요리법 즐겨찾기해줘요.,1
지금 요리법 즐겨찾기 해줘요.,1
지금들은 요리법 즐겨찾기 해줘요.,1
현재 요리법 즐겨찾기 해줘요.,1
방금 요리법 즐겨찾기 해줘요.,1
방금들은 요리법 즐겨찾기 해줘요.,1
요리법 저장해주세요.,1
지금 요리법 저장해주세요.,1
지금들은 요리법 저장해주세요.,1
현재 요리법 저장해주세요.,1
방금 요리법 저장해주세요.,1
방금들은 요리법 저장해주세요.,1
요리법 즐겨찾기해주세요.,1
지금 요리법 즐겨찾기 해주세요.,1
지금들은 요리법 즐겨찾기 해주세요.,1
현재 요리법 즐겨찾기 해주세요.,1
방금 요리법 즐겨찾기 해주세요.,1
방금들은 요리법 즐겨찾기 해주세요.,1
요리법 저장해줄래?.,1
지금 요리법 저장해줄래?.,1
지금들은 요리법 저장해줄래?.,1
현재 요리법 저장해줄래?.,1
방금 요리법 저장해줄래?.,1
방금들은 요리법 저장해줄래?.,1
요리법 즐겨찾기해줄래?.,1
지금 요리법 즐겨찾기 해줄래?.,1
지금들은 요리법 즐겨찾기 해줄래?.,1
현재 요리법 즐겨찾기 해줄래?.,1
방금 요리법 즐겨찾기 해줄래?.,1
방금들은 요리법 즐겨찾기 해줄래?.,1
요리법 저장해줄래요?.,1
지금 요리법 저장해줄래요?.,1
지금들은 요리법 저장해줄래요?.,1
현재 요리법 저장해줄래요?.,1
방금 요리법 저장해줄래요?.,1
방금들은 요리법 저장해줄래요?.,1
요리법 즐겨찾기해줄래요?.,1
지금 요리법 즐겨찾기 해줄래요?.,1
지금들은 요리법 즐겨찾기 해줄래요?.,1
현재 요리법 즐겨찾기 해줄래요?.,1
방금 요리법 즐겨찾기 해줄래요?.,1
방금들은 요리법 즐겨찾기 해줄래요?.,1
요리법 저장해주실래요?.,1
지금 요리법 저장해주실래요?.,1
지금들은 요리법 저장해주실래요?.,1
현재 요리법 저장해주실래요?.,1
방금 요리법 저장해주실래요?.,1
방금들은 요리법 저장해주실래요?.,1
요리법 즐겨찾기해주실래요?.,1
지금 요리법 즐겨찾기 해주실래요?.,1
현재 요리법 즐겨찾기 해주실래요?.,1
방금 요리법 즐겨찾기 해주실래요?.,1
방금들은 요리법 즐겨찾기 해주실래요?.,1
요리방법 저장.,1
지금 요리방법 저장.,1
지금들은 요리방법 저장.,1
현재 요리방법 저장.,1
방금 요리방법 저장.,1
방금들은 요리방법 저장.,1
요리방법 저장해줘.,1
지금 요리방법 저장해줘.,1
지금들은 요리방법 저장해줘.,1
현재 요리방법 저장해줘.,1
방금 요리방법 저장해줘.,1
방금들은 요리방법 저장해줘.,1
요리방법 즐겨찾기.,1
지금 요리방법 즐겨찾기.,1
지금들은 요리방법 즐겨찾기.,1
현재 요리방법 즐겨찾기.,1
방금 요리방법 즐겨찾기.,1
방금들은 요리방법 즐겨찾기.,1
요리방법 즐겨찾기해줘.,1
지금 요리방법 즐겨찾기 해줘.,1
지금들은 요리방법 즐겨찾기 해줘.,1
현재 요리방법 즐겨찾기 해줘.,1
방금 요리방법 즐겨찾기 해줘.,1
방금들은 요리방법 즐겨찾기 해줘.,1
요리방법 저장해줘요.,1
지금 요리방법 저장해줘요.,1
지금들은 요리방법 저장해줘요.,1
현재 요리방법 저장해줘요.,1
방금 요리방법 저장해줘요.,1
방금들은 요리방법 저장해줘요.,1
요리방법 즐겨찾기해줘요.,1
지금 요리방법 즐겨찾기 해줘요.,1
지금들은 요리방법 즐겨찾기 해줘요.,1
현재 요리방법 즐겨찾기 해줘요.,1
방금 요리방법 즐겨찾기 해줘요.,1
방금들은 요리방법 즐겨찾기 해줘요.,1
요리방법 저장해주세요.,1
지금 요리방법 저장해주세요.,1
지금들은 요리방법 저장해주세요.,1
현재 요리방법 저장해주세요.,1
방금 요리방법 저장해주세요.,1
방금들은 요리방법 저장해주세요.,1
요리방법 즐겨찾기해주세요.,1
지금 요리방법 즐겨찾기 해주세요.,1
지금들은 요리방법 즐겨찾기 해주세요.,1
현재 요리방법 즐겨찾기 해주세요.,1
방금 요리방법 즐겨찾기 해주세요.,1
방금들은 요리방법 즐겨찾기 해주세요.,1
요리방법 저장해줄래?.,1
지금 요리방법 저장해줄래?.,1
지금들은 요리방법 저장해줄래?.,1
현재 요리방법 저장해줄래?.,1
방금 요리방법 저장해줄래?.,1
방금들은 요리방법 저장해줄래?.,1
요리방법 즐겨찾기해줄래?.,1
지금 요리방법 즐겨찾기 해줄래?.,1
지금들은 요리방법 즐겨찾기 해줄래?.,1
현재 요리방법 즐겨찾기 해줄래?.,1
방금 요리방법 즐겨찾기 해줄래?.,1
방금들은 요리방법 즐겨찾기 해줄래?.,1
요리방법 저장해줄래요?.,1
지금 요리방법 저장해줄래요?.,1
지금들은 요리방법 저장해줄래요?.,1
현재 요리방법 저장해줄래요?.,1
방금 요리방법 저장해줄래요?.,1
방금들은 요리방법 저장해줄래요?.,1
요리방법 즐겨찾기해줄래요?.,1
지금 요리방법 즐겨찾기 해줄래요?.,1
지금들은 요리방법 즐겨찾기 해줄래요?.,1
현재 요리방법 즐겨찾기 해줄래요?.,1
방금 요리방법 즐겨찾기 해줄래요?.,1
방금들은 요리방법 즐겨찾기 해줄래요?.,1
요리방법 저장해주실래요?.,1
지금 요리방법 저장해주실래요?.,1
지금들은 요리방법 저장해주실래요?.,1
현재 요리방법 저장해주실래요?.,1
방금 요리방법 저장해주실래요?.,1
방금들은 요리방법 저장해주실래요?.,1
요리방법 즐겨찾기해주실래요?.,1
지금 요리방법 즐겨찾기 해주실래요?.,1
현재 요리방법 즐겨찾기 해주실래요?.,1
방금 요리방법 즐겨찾기 해주실래요?.,1
방금들은 요리방법 즐겨찾기 해주실래요?.,1
조리법 저장.,1
지금 조리법 저장.,1
지금들은 조리법 저장.,1
현재 조리법 저장.,1
방금 조리법 저장.,1
방금들은 조리법 저장.,1
조리법 저장해줘.,1
지금 조리법 저장해줘.,1
지금들은 조리법 저장해줘.,1
현재 조리법 저장해줘.,1
방금 조리법 저장해줘.,1
방금들은 조리법 저장해줘.,1
조리법 즐겨찾기.,1
지금 조리법 즐겨찾기.,1
지금들은 조리법 즐겨찾기.,1
현재 조리법 즐겨찾기.,1
방금 조리법 즐겨찾기.,1
방금들은 조리법 즐겨찾기.,1
조리법 즐겨찾기해줘.,1
지금 조리법 즐겨찾기 해줘.,1
지금들은 조리법 즐겨찾기 해줘.,1
현재 조리법 즐겨찾기 해줘.,1
방금 조리법 즐겨찾기 해줘.,1
방금들은 조리법 즐겨찾기 해줘.,1
조리법 저장해줘요.,1
지금 조리법 저장해줘요.,1
지금들은 조리법 저장해줘요.,1
현재 조리법 저장해줘요.,1
방금 조리법 저장해줘요.,1
방금들은 조리법 저장해줘요.,1
